@relation climate-change-7

@attribute 'Country name' {Aruba,Andorra,Afghanistan,Angola,Albania,'United Arab Emirates',Argentina,Armenia,'American Samoa','Antigua and Barbuda',Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,'Burkina Faso',Bangladesh,Bulgaria,Bahrain,Bahamas,'Bosnia and Herzegovina',Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,'Brunei Darussalam',Bhutan,Botswana,'Central African Republic',Canada,Switzerland,'Channel Islands',Chile,China,'Cote d Ivoire',Cameroon,Congo,'Cook Islands',Colombia,Comoros,'Cape Verde','Costa Rica',Cuba,Curacao,'Cayman Islands',Cyprus,'Czech Republic',Germany,Djibouti,Dominica,Denmark,'Dominican Republic',Algeria,'East Asia & Pacific','Europe & Central Asia',Ecuador,Egypt,'Euro area',Eritrea,Spain,Estonia,Ethiopia,Finland,Fiji,France,'Faeroe Islands',Micronesia,Gabon,'United Kingdom',Georgia,Ghana,Gibraltar,Guinea,Gambia,Guinea-Bissau,'Equatorial Guinea',Greece,Grenada,Greenland,Guatemala,Guam,Guyana,'High income','Hong Kong',Honduras,Croatia,Haiti,Hungary,Indonesia,'Isle of Man',India,Ireland,Iran,Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,'Kyrgyz Republic',Cambodia,Kiribati,'St. Kitts and Nevis',Korea,Kosovo,Kuwait,'Latin America & Caribbean','Lao PDR',Lebanon,Liberia,Libya,'St. Lucia','Low income',Liechtenstein,'Sri Lanka','Lower middle income','Low & middle income',Lesotho,Lithuania,Luxembourg,Latvia,Macao,'St. Martin (French part)',Morocco,Monaco,Moldova,Madagascar,Maldives,Mexico,'Marshall Islands','Middle income',Macedonia,Mali,Malta,Myanmar,'Middle East & North Africa',Montenegro,Mongolia,'Northern Mariana Islands',Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Mayotte,Namibia,'New Caledonia',Niger,Nigeria,Nicaragua,Niue,Netherlands,Norway,Nepal,Nauru,'New Zealand',Oman,Pakistan,Panama,Peru,Philippines,Palau,'Papua New Guinea',Poland,'Puerto Rico',Portugal,Paraguay,'French Polynesia',Qatar,Romania,'Russian Federation',Rwanda,'South Asia','Saudi Arabia',Sudan,Senegal,Singapore,'Small island developing states','Solomon Islands','Sierra Leone','El Salvador','San Marino',Somalia,Serbia,'Sub-Saharan Africa','Sao Tome and Principe',Suriname,'Slovak Republic',Slovenia,Sweden,Swaziland,'Sint Maarten (Dutch part)',Seychelles,'Syrian Arab Republic','Turks and Caicos Islands',Chad,Togo,Thailand,Tajikistan,Turkmenistan,Timor-Leste,Tonga,'Trinidad and Tobago',Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,'Upper middle income',Uruguay,'United States',Uzbekistan,'St. Vincent and the Grenadines',Venezuela,'Virgin Islands (U.S.)',Vietnam,Vanuatu,'West Bank and Gaza',World,Samoa,Yemen,'South Africa','Dem. Rep. Congo',Zambia,Zimbabwe}
@attribute 'Agricultural land under irrigation (percent of total ag. land)' numeric
@attribute 'Cereal yield (kg per hectare)' numeric
@attribute 'Foreign direct investment net inflows (percent of GDP)' numeric
@attribute 'Energy use per units of GDP (kg oil eq./$1000 of 2005 PPP $)' numeric
@attribute 'Energy use per capita (kilograms of oil equivalent)' numeric
@attribute 'CO2 emissions total (KtCO2)' numeric
@attribute 'CO2 emissions per capita (metric tons)' numeric
@attribute 'CO2 emissions per units of GDP (kg/$1000 of 2005 PPP $)' numeric
@attribute 'GHG net emissions/removals by LUCF (MtCO2e)' numeric
@attribute 'Population in urban agglomerations >1million (percent)' numeric
@attribute 'Nationally terrestrial protected areas (percent of total land area)' numeric
@attribute 'Invest. in energy w/ private participation ($)' numeric
@attribute 'Invest. in telecoms w/ private participation ($)' numeric
@attribute 'Invest. in transport w/ private participation ($)' numeric
@attribute 'Invest. in water/sanit. w/ private participation ($)' numeric
@attribute 'Public sector mgmt & institutions avg. (1-6 scale; 6=best)' numeric
@attribute 'Paved roads (percent of total roads)' numeric
@attribute 'GDP ($)' numeric
@attribute 'GNI per capita (Atlas $)' numeric
@attribute 'Ratio of girls to boys in primary & secondary school (percent)' numeric
@attribute 'Primary completion rate total (percent of relevant age group)' numeric
@attribute 'Under-five mortality rate (per 1000)' numeric
@attribute 'Access to improved water source (percent of total pop.)' numeric
@attribute 'Nurses and midwives (per 1000 people)' numeric
@attribute 'Physicians (per 1000 people)' numeric
@attribute 'Malaria incidence rate (per 100000 people)' numeric
@attribute 'Access to improved sanitation (percent of total pop.)' numeric
@attribute 'Child malnutrition underweight (percent of under age 5)' numeric
@attribute 'Population living below $1.25 a day (percent of total)' numeric
@attribute 'Population growth (annual percent)' numeric
@attribute Population numeric
@attribute 'Urban population growth (annual percent)' numeric
@attribute 'Urban population' numeric

@data
'Papua New Guinea',?,4228.2,-0.380513,?,?,2108.525,0.321948,157.983102,?,?,3.073372,?,0,?,?,2.9,?,8010370370.37037,1100,?,?,63.2,40,0.51,0.053,18012,45,?,?,2.36325,6549268,2.203887,821278.2072
Poland,?,3217.2,2.829237,156.025947,2567.377846,316066.064,8.290092,503.809564,-34.857822,4.476323,21.833298,1500200000,2281000000,1439300000,?,?,68.151292,529400755437.489984,11870,99.493,?,6.6,100,5.73,2.144,?,90,?,0.07,0.013637,38125759,-0.084162,23378715.4188
'Puerto Rico',?,1764.2,?,?,?,?,?,?,?,68.547494,10.085992,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.337345,3954553,0.581744,3888116.5096
Korea,?,3716.2,?,?,839.779479,78371.124,3.248365,?,?,11.69674,3.971582,?,400000000,?,?,?,?,?,?,?,?,33.1,100,?,?,284,?,?,?,0.489138,24126329,1.06514,15122383.0172
Portugal,?,3597.8,1.858172,104.719654,2299.879415,56310.452,5.301098,241.373154,-13.454361,38.84865,5.919456,?,?,?,?,?,?,251925293880.690016,21520,99.858,?,4.1,99,5.33,?,?,100,?,?,0.132619,10622413,1.180811,6316086.7698
Paraguay,?,2681.3,1.651736,165.350224,719.666748,4118.041,0.660976,151.865492,?,30.884194,5.445293,?,178800000,?,?,?,?,16873155276.0934,2130,99.523,94.17187,26.2,86,?,?,16,70,?,5.08,1.796828,6230242,2.796837,3756835.926
'French Polynesia',?,?,?,?,?,891.081,3.368404,?,?,?,0.350107,?,?,?,?,?,?,?,?,?,?,?,100,?,?,?,98,?,?,1.215488,264541,1.176765,136608.9724
Qatar,?,3970,3.413012,214.157897,16513.33467,68477.558,49.050584,636.126505,?,?,0.741628,?,?,?,?,?,?,110712359446.651008,?,119.781,115.44132,9,100,?,?,?,100,?,?,16.967292,1396060,17.050974,1335191.784
Romania,1.897239,3247.1,6.939034,155.358636,1832.17382,94659.938,4.4,373.0967,-36.414555,8.982081,7.109809,1447500000,1409000000,?,?,?,?,200071062765.493024,8290,98.886,96.00964,16,?,?,?,?,72,?,0.5,-0.154439,21513622,0.177972,11668988.5728
'Russian Federation',1.970821,2388.1,4.515915,328.440281,4850.177591,1708653.318,12.037008,815.112083,-592.80368,18.064478,9.021114,12412000000,7197100000,24000000,369000000,?,?,1660846387625.999872,9630,98.038,95.23701,13.4,96,?,?,?,87,?,0,-0.105615,141950000,-0.133069,103396380
Rwanda,?,1278.4,2.193194,?,?,704.064,0.070378,71.06572,?,?,9.9857,?,43600000,?,?,3.5,?,4712306077.47675,430,100.146,53.97523,104.1,65,?,?,11429,54,?,?,2.978324,10004092,4.516816,1834750.4728
'South Asia',?,2773.131942,3.349348,193.392753,498.12353,1970176.424,1.282841,504.637679,?,13.261913,6.103549,14127580000,13570700000,5726650000,75900000,?,58.925,1524791717463.280128,999.782885,92.237,84.879834,70.789139,86.642412,?,?,1127.292782,35.566184,?,?,1.409181,1535791297.96069,2.517015,453025943.304652
'Saudi Arabia',?,5218.2,8.283562,286.327415,5888.245793,433556.744,16.569065,805.703044,?,38.766125,31.294393,?,?,?,?,?,?,476304800000,16790,90.699,95.15082,18.9,?,2.1,0.939,7,?,?,?,2.564308,26166639,2.370368,21566543.8638
Sudan,1.164797,567.1,4.481144,181.491614,355.637457,14051.944,0.339295,173.151488,?,11.785936,4.895017,?,207000000,?,?,2.3,?,58032057416.267896,1140,89.114,50.13814,105.7,57,0.84,0.28,12805,34,?,?,2.546981,41415151,4.593564,17990741.5944
Senegal,?,1174.2,3.010071,141.339818,242.538065,4976.119,0.422166,246.018384,?,22.828064,24.089163,?,298000000,134000000,?,3.4,?,13210074065.4676,1020,95.498,56.25593,82.3,69,0.42,0.059,7077,51,?,?,2.686645,11787123,3.302032,4995382.7274
Singapore,?,?,4.534585,71.921403,3451.89135,32295.269,6.673404,139.042773,?,95.363537,5.37706,?,?,?,?,?,100,189393185097.924,36050,?,?,2.8,100,?,?,?,100,?,?,5.321578,4839400,5.321578,4839400
'Small island developing states',?,2175.429681,4.892424,138.874923,?,230301.090735,3.730938,351.524346,?,?,6.720572,?,208150000,?,?,?,49.900002,575300618476.129984,7997.654048,?,?,51.868555,79.843566,?,?,?,67.389002,?,?,?,61727395.560104,?,35995451.845533
'Solomon Islands',?,3174,14.697812,?,?,198.018,0.388102,160.073817,?,?,0.093135,?,0,?,?,2.6,?,645796657.499395,1050,?,?,28.1,?,?,?,13718,?,?,?,2.728062,510221,4.525864,91635.6916
'Sierra Leone',?,1332.7,2.947765,?,?,1334.788,0.23784,332.193379,?,?,4.959127,?,21900000,?,?,2.7,?,1954828246.01522,320,?,?,185.4,49,0.17,0.016,36141,13,21.3,?,2.413732,5612129,3.264801,2119139.9104
'El Salvador',?,2905.3,1.678895,132.80667,833.341436,6112.889,0.997269,158.931251,?,24.491144,0.827148,0,231800000,?,?,?,?,22106800000,3460,98.28,89.35034,18.8,87,0.41,1.596,1,87,?,5.11,0.470301,6129628,0.96576,3720684.196
'San Marino',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1899809579.61037,50400,?,?,2.4,?,?,?,?,?,?,?,0.6141,31198,0.656563,29394.7556
Somalia,?,337.9,?,?,?,649.059,0.072746,?,?,13.676064,0.584038,?,0,?,?,?,?,?,?,?,?,180,30,?,?,8711,23,?,?,2.138387,8922260,3.350523,3258409.352
Serbia,0.514241,4580,6.133019,224.44741,2299.237669,49933.539,6.793475,663.166657,?,15.160388,5.957833,?,186000000,?,?,?,47.74,48856609868.367896,5520,101.752,104.3832,7.8,99,?,?,?,92,?,0.14,-0.425719,7350221,-0.079232,3825055.0084
'Sub-Saharan Africa',?,1292.466118,3.828418,318.216406,709.530397,684558.623764,0.842532,428.60863,?,13.665763,11.699287,?,11726910000,?,?,?,18.299999,993541530424.169984,1103.998837,87.484,64.384192,127.909172,59.724634,?,?,26113.279241,31.362714,?,?,2.49059,812501589,3.890618,296054609.5764
'Sao Tome and Principe',?,3167,33.201864,?,?,128.345,0.802899,496.242649,?,?,?,?,?,?,?,3.1,?,170904224.752756,1020,99.952,74.25912,81.1,89,?,?,1961,26,?,?,1.570586,159852,2.933865,96806.3712
Suriname,?,4188.7,-7.620741,?,?,2438.555,4.734452,697.743377,?,?,11.439635,?,0,?,?,?,?,3065318761.38433,5310,107.411,88.2705,32,93,?,?,681,84,?,?,0.961769,515066,1.416619,385887.4472
'Slovak Republic',1.342282,5175.3,3.281238,165.021907,3385.488473,37557.414,6.946553,338.602074,-3.176159,?,23.48166,?,?,?,?,?,?,98463512523.802592,16590,100.411,95.64045,8.9,100,6.58,?,?,100,?,?,0.172307,5406626,0.384697,3057987.6656
Slovenia,0.813008,5464,3.544477,140.712881,3826.946405,17157.893,8.488476,312.112539,-8.482719,?,12.132267,?,?,?,?,?,100,54642842411.015096,24210,99.311,96.22861,3.4,99,8.16,2.473,?,100,?,?,0.158141,2021316,-0.457246,982359.576
Sweden,?,4820.4,7.776222,156.847548,5379.959103,49049.792,5.320144,155.103682,-33.878705,13.792918,11.321951,?,?,?,?,?,23.57,486158607819.635968,52420,99.277,94.07067,3.2,100,?,?,?,100,?,?,0.779033,9219637,0.873708,7794281.1198
Swaziland,?,1153.9,3.726965,?,?,1092.766,0.949947,205.619931,?,?,3.017427,?,19500000,?,?,?,?,2836875998.64426,2600,?,?,85.8,69,?,?,57,55,?,?,1.518587,1150344,2.647631,286895.7936
'Sint Maarten (Dutch part)',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.490025,40459,?,?
Seychelles,?,?,26.214788,?,?,682.062,7.84376,404.357625,?,?,41.973737,?,0,?,?,?,96.456693,920991413.94916,10680,104.324,110.3078,13.5,?,?,?,?,?,?,?,2.236283,86956,3.123534,47251.8904
'Syrian Arab Republic',9.7568,896.6,2.789932,286.222056,1291.494571,71598.175,3.645941,808.01638,?,33.447011,0.638015,?,95400000,?,?,?,91.03,52581935483.871,2220,96.801,113.56463,17.2,89,1.86,1.5,?,96,?,?,2.0386,19637775.927516,2.647148,10647602.107899
'Turks and Caicos Islands',?,?,?,?,?,157.681,4.3849,?,?,?,42.922885,?,?,?,?,?,?,?,?,?,?,?,100,?,?,?,?,?,?,4.423437,35960,?,?
Chad,?,811.7,2.79502,?,?,495.045,0.046467,36.819717,?,?,9.385843,?,98500000,?,?,2.2,?,8357142857.14286,550,63.611,?,176.7,50,?,?,39508,9,?,?,2.681872,10653762,4.421047,2842423.7016
Togo,?,1136.4,0.754988,506.709836,443.614906,1419.129,0.245658,280.598255,?,26.295272,11.256674,190000000,0,?,?,2.2,?,3163383040.41634,420,?,61.86793,107.5,60,0.27,0.053,30388,12,?,?,2.170336,5776837,3.851048,2426271.54
Thailand,?,3020.8,3.129779,211.05657,1557.167766,285732.64,4.185456,567.291478,?,10.002771,19.590347,2341000000,406000000,?,0,?,?,272577816170.884,3640,102.613,?,13.9,98,?,?,322,96,?,?,0.693102,68267982,1.718752,22746891.6024
Tajikistan,15.020097,2140.2,7.280816,209.321451,372.746217,3146.286,0.470197,264.046648,?,?,4.136611,?,68000000,?,?,2.6,?,5161336170.46084,620,90.556,97.72262,67.3,70,?,?,9,94,?,?,1.308548,6691416,1.384162,1770548.6736
Turkmenistan,?,2490.6,7.504198,722.478661,4570.491477,47839.682,9.726684,1537.541732,?,?,2.986498,?,58000000,?,?,?,?,17017140631.0869,2830,?,?,58.9,?,?,?,0,98,?,?,1.218212,4918396,2.127309,2391324.1352
Timor-Leste,?,1442.6,7.972785,?,?,190.684,0.1766,234.505678,?,?,6.049831,?,0,?,?,2.7,?,497918858.206328,2460,?,79.77389,62.3,69,?,?,46380,50,?,?,1.773355,1079749,3.249396,294771.477
Tonga,?,?,1.197119,?,?,176.016,1.710388,413.890305,?,?,14.535929,?,0,?,?,3.3,?,348011965.56994,3290,?,?,16.4,100,?,?,?,96,?,?,0.639491,102910,1.694267,25501.098
'Trinidad and Tobago',?,2893.7,10.32251,602.981868,14520.006912,49772.191,37.39346,1552.862785,?,?,31.239379,?,?,?,?,?,?,27132936507.9365,16910,100.794,91.78207,27.7,94,?,?,?,92,?,?,0.404109,1331040,3.00962,175963.488
Tunisia,4.007692,1442.4,6.459804,120.902109,889.445536,25012.607,2.421614,329.169359,?,?,1.296377,?,99000000,?,?,?,75.18,40844817790.763704,3540,103.339,92.82462,18.1,94,?,?,?,85,?,?,1.010031,10328900,1.613351,6868718.5
Turkey,13.330096,2487.4,2.670546,111.953579,1388.840195,283979.814,4.004017,322.761413,-80.579712,28.975006,1.891598,4219000000,3954000000,1343500000,?,?,?,730337495197.84896,9260,92.875,93.42516,21,99,1.89,1.451,0,90,?,?,1.321335,70923730,1.993361,48710417.764
Tuvalu,?,?,5.584865,?,?,?,?,?,?,?,0.438813,?,?,?,?,?,?,29628076.297203,4920,?,?,34.4,97,5.82,0.636,?,84,?,?,0.24555,9786,?,?
Tanzania,?,1277.8,1.931187,382.315173,448.495537,6464.921,0.152952,130.382215,?,7.260188,27.688968,?,477000000,?,?,3.5,7.38,20715098399.4656,460,93.383,?,85.4,54,?,?,24088,24,?,?,2.878869,42267667,4.618043,10786708.6184
Uganda,?,1534.4,5.047223,?,?,3747.674,0.119583,110.811644,?,4.710018,9.672799,151000000,679400000,?,?,3.4,?,14440830267.2498,420,98.944,56.13398,106.5,67,?,?,36233,48,?,?,3.241232,31339392,4.481558,4067853.0816
Ukraine,5.269786,3487.3,6.050856,437.608652,2941.109209,323532.076,6.994048,1040.646825,-17.245924,13.489347,3.508872,?,1363800000,?,102000000,?,97.81,180354647630.62,3210,98.806,98.8861,14,98,?,?,?,95,?,0.04,-0.541462,46258200,-0.453162,31446324.36
'Upper middle income',?,3781.478191,3.701687,228.044241,1834.066337,12859967.139812,5.316883,659.426458,?,21.725037,13.633126,33655250000,?,15390390000,3044013620,?,50.501274,1.32949597526454E13,4880.429704,102.494,97.699687,22.103724,91.504888,?,?,80.133989,67.829954,?,?,0.691105,2418704033.5601,1.928534,1356445023.59893
Uruguay,1.208865,3943.9,5.803588,106.484249,1243.150377,8327.757,2.497789,213.952508,?,48.897138,0.250942,?,52900000,?,?,?,?,31176899890.6419,8020,103.913,106.00034,12,100,5.55,3.736,?,100,?,?,0.304778,3334052,0.413179,3077329.996
'United States',?,6619.9,2.168953,172.971728,7481.016585,5461013.744,17.941729,414.838254,-1007.251509,44.603015,14.814173,?,?,?,?,?,67.37,1.42969E13,47660,100.088,95.4828,7.7,99,?,?,?,100,?,?,0.922517,304375000,1.29039,248674375
Uzbekistan,?,4348.7,2.547862,753.120245,1848.918052,124905.354,4.572993,1862.718291,?,8.02784,2.255444,?,413100000,25000000,?,2.7,?,27917519210.6579,890,98.288,94.68316,53.6,87,?,?,0,100,?,?,1.645986,27313700,1.754682,10056904.34
'St. Vincent and the Grenadines',?,3181.8,27.273753,?,?,201.685,1.847304,215.240227,?,?,10.877854,?,0,?,?,3.8,?,583870370.37037,5130,99.762,109.16745,21.4,?,?,?,?,?,?,?,0.108139,109178,0.919243,51357.3312
Venezuela,?,3826.4,0.112493,200.488541,2357.008126,169532.744,6.068829,516.218293,?,32.180247,53.749825,?,391000000,?,?,?,?,311130615277.131008,9160,102.196,95.38287,19.4,?,?,?,263,?,?,?,1.631275,27935000,1.996278,26068942
'Virgin Islands (U.S.)',?,?,?,?,?,?,?,?,?,?,15.199323,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.017299,109840,0.249489,104194.224
Vietnam,?,5064.2,10.611056,266.177197,694.87226,127384.246,1.496485,573.242319,?,12.016197,6.166789,?,0,365000000,?,3.6,?,90273764945.748592,920,?,?,25.2,94,1.01,1.224,55,75,20.2,13.07,1.064356,85122300,2.80353,23698048.32
Vanuatu,?,546.6,7.088837,?,?,91.675,0.402011,98.654473,?,?,4.250474,?,35000000,?,?,3.3,?,619283529.063456,2550,99.362,78.18632,15.3,83,1.7,0.116,6036,52,?,?,2.51513,228041,4.225966,56462.9516
'West Bank and Gaza',4.619565,1467.9,?,?,?,2053.52,0.521554,?,?,?,?,?,0,?,?,?,?,?,?,104.414,82.10409,23.8,91,?,?,?,89,?,?,2.706236,3937309,2.845415,2830925.171
World,?,3554.127871,3.08789,183.310967,1840.103748,?,?,?,?,19.836288,12.48958,?,?,?,?,?,49.1,6.12585370641227E13,8717.146988,96.16,87.970331,60.854018,86.820864,?,?,4601.31325,60.618546,?,?,1.16105,6686776006.59544,2.035881,3331444479.75367
Samoa,?,?,5.76281,?,?,161.348,0.887459,213.041296,?,?,3.407828,?,0,?,?,3.9,?,578899186.46637,2880,?,?,20.8,?,?,?,?,100,?,?,0.293044,181809,1.166412,41816.07
Yemen,?,939.1,5.775544,142.167696,320.226397,23384.459,1.033494,458.830121,?,9.356326,0.520661,?,50100000,220000000,?,3,?,26917363956.0592,970,?,60.90959,81.1,62,?,?,1106,52,?,?,3.049598,22626595,4.960694,6932788.708
'South Africa',?,4055.3,3.503662,320.191041,3074.59745,435877.955,8.933203,930.310881,?,33.234023,6.85955,?,1927000000,?,?,?,?,275278721835.789984,5860,99.154,92.49449,65.6,91,?,?,80,77,?,?,1.104057,48793022,1.89745,29636881.5628
'Dem. Rep. Congo',?,771.5,14.79897,1193.887219,356.023405,2816.256,0.045078,151.16502,?,17.352516,9.986567,?,335000000,?,?,2.2,?,11668379641.8326,160,75.821,53.23827,174.4,46,?,?,37400,23,?,?,2.763286,62474901,4.605834,21216476.3796
Zambia,?,2144,6.410991,481.196265,614.851742,1888.505,0.15255,119.388624,?,11.109605,35.983018,?,131000000,?,?,3.2,?,14640794797.859,970,95.477974,92.97974,121.8,60,?,?,13456,49,?,?,2.653956,12379612,3.049996,4384858.5704
Zimbabwe,?,309.4,1.168478,?,763.436949,9075.825,0.728892,?,?,12.717813,28.007713,?,123000000,?,?,1.6,?,4416000000,320,?,?,87.5,82,?,?,7480,44,?,?,-0.238257,12451543,1.055562,4649406.1562
